datetime;nodes;channels;capacity
2023-07-13 00:00:00;15512;68342;492673725516
2023-07-12 00:00:00;15521;68470;492901070806
2023-07-11 00:00:00;15501;68421;493646710442
2023-07-10 00:00:00;10515;57325;473434067343
2023-07-09 00:00:00;15576;69141;552171022651
2023-07-08 00:00:00;15537;68971;551311430922
2023-07-07 00:00:00;15510;68872;550594521519
2023-07-06 00:00:00;15547;69106;547964302113
2023-07-05 00:00:00;15538;69027;547278696707
2023-07-04 00:00:00;15501;69011;547337902512
2023-07-03 00:00:00;13970;64664;538250458173
2023-07-02 00:00:00;15493;69193;548628064988
2023-07-01 00:00:00;15475;69148;547754348586
2023-06-30 00:00:00;15433;69039;548861870197
2023-06-29 00:00:00;15502;69212;548273204880
2023-06-28 00:00:00;15506;69278;549670119814
2023-06-27 00:00:00;15484;69205;548282138938
2023-06-26 00:00:00;14048;65208;539453033987
2023-06-25 00:00:00;15519;69385;548722027798
2023-06-24 00:00:00;15501;69313;549004630094
2023-06-23 00:00:00;15498;69217;548323821057
2023-06-22 00:00:00;15535;69451;547775446952
2023-06-21 00:00:00;15505;69302;547527682476
2023-06-20 00:00:00;15504;69324;546939223324
2023-06-19 00:00:00;14895;67657;541847353310
2023-06-18 00:00:00;15448;69223;546613954096
2023-06-17 00:00:00;15434;69070;544860691760
2023-06-16 00:00:00;15394;68918;544110623579
2023-06-15 00:00:00;15538;69472;544465508879
2023-06-14 00:00:00;15521;69305;543505369467
2023-06-13 00:00:00;15514;69318;542007073815
2023-06-12 00:00:00;13958;65053;531937833168
2023-06-11 00:00:00;15553;69905;541964967327
2023-06-10 00:00:00;15550;70003;541835227519
2023-06-09 00:00:00;15553;70055;543015432892
2023-06-08 00:00:00;15727;70558;542279883577
2023-06-07 00:00:00;15716;70486;542533827949
2023-06-06 00:00:00;15693;70368;541596702687
2023-06-05 00:00:00;9505;56093;511417854463
2023-06-04 00:00:00;15761;70462;539856040360
2023-06-03 00:00:00;15753;70454;539009434015
2023-06-02 00:00:00;15730;70448;538987721476
2023-06-01 00:00:00;15757;70677;537637594953
2023-05-31 00:00:00;15724;70711;542053441368
2023-05-30 00:00:00;15697;70646;542082619775
2023-05-29 00:00:00;14015;66201;530218770356
2023-05-28 00:00:00;15793;71096;541829964483
2023-05-27 00:00:00;15736;70899;541417458381
2023-05-26 00:00:00;15718;70855;541012610873
2023-05-25 00:00:00;15750;71172;541883005124
2023-05-24 00:00:00;15585;70854;540963422285
2023-05-23 00:00:00;15559;70754;540776581568
2023-05-22 00:00:00;13731;65849;527820554810
2023-05-21 00:00:00;15590;70954;536768135780
2023-05-20 00:00:00;15560;71004;537308894553
2023-05-19 00:00:00;15526;70982;537164507464
2023-05-18 00:00:00;15647;71385;537085174664
2023-05-17 00:00:00;15617;71602;538211709364
2023-05-16 00:00:00;15596;71569;537873065756
2023-05-15 00:00:00;12873;64764;524214231617
2023-05-14 00:00:00;15574;72130;539717669157
2023-05-13 00:00:00;15567;72617;544034979487
2023-05-12 00:00:00;15484;72364;542754410992
2023-05-11 00:00:00;15543;72572;542674713719
2023-05-10 00:00:00;15507;72539;543080770968
2023-05-09 00:00:00;15485;72571;545940799259
2023-05-08 00:00:00;12659;65772;531158585215
2023-05-07 00:00:00;15394;72412;545011091630
2023-05-06 00:00:00;15362;72320;544751323860
2023-05-05 00:00:00;15355;72366;545149413397
2023-05-04 00:00:00;15485;72867;545898713782
2023-05-03 00:00:00;15461;72805;546205891807
2023-05-02 00:00:00;15393;72670;546677456983
2023-05-01 00:00:00;14483;69667;539946819787
2023-04-30 00:00:00;15299;72453;545671635027
2023-04-29 00:00:00;15285;72472;545498954235
2023-04-28 00:00:00;15266;72540;543906720062
2023-04-27 00:00:00;15289;72689;542798980652
2023-04-26 00:00:00;15275;72673;542442407087
2023-04-25 00:00:00;15252;72640;542583250049
2023-04-24 00:00:00;13053;67139;529311660607
2023-04-23 00:00:00;15383;72964;544325284365
2023-04-22 00:00:00;15355;72825;543091366030
2023-04-21 00:00:00;15319;72759;543648328104
2023-04-20 00:00:00;15362;72975;544901214519
2023-04-19 00:00:00;15332;72978;547673893896
2023-04-18 00:00:00;15310;73026;550226255960
